Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Entry Level Software Engineer,$36.67 - $44.16 Per Hour (Employer est.),"We are seeking a highly motivated and skilled individual to join our team as an Entry-Level Software Engineer. This position is ideal for someone with foundational knowledge and experience in Java development, looking to grow their career as a software engineer. As an Entry-Level Software Engineer, you will collaborate with a team of experienced developers to design, develop, test, and maintain software solutions. This is a great opportunity to apply your Java skills and expand your expertise in software engineering.
Responsibilities:
Collaborate with the development team to understand user requirements and translate them into software solutions.
Design, develop, and test software applications using Java and other relevant technologies.",-1,Northstar Logix,"Philadelphia, PA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Software Dev Engineer II,$36.67 - $44.16 Per Hour (Employer est.),"Software Dev Engineer II (Hybrid)
New Journey AI/Genesis10 is seeking a Software Engineer for a contract position supporting our Global eCommerce client.
Pay: $57.00-$58.00/hour W2
Location: Seattle, WA (Hybrid – 3 days onsite)
Period of Performance: 11 months starting in July (possible extension or conversion)
Only candidates available and ready to work directly as Genesis10/New Journey AI employees will be considered for this position.
Summary
We are seeking a talented and highly motivated software developer who will simplify and solve complex problems, manage projects end-to-end, build effective relationships with teams, and craft solid designs and code.",-1,RPO International,"Seattle, WA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
,$36.67 - $44.16 Per Hour (Employer est.),,2.9,,,-1,-1,-1,-1,-1,-1
Software Engineer - Entry Level,$36.67 - $44.16 Per Hour (Employer est.),"Compensation: $95,000 - $110,000+
Job Description
As an entry level software engineer at usCalibration, you will work with a Sr. Software Engineer to develop code and architecture for the corporate software systems. With the guidance of your team you would also learn to train, support, oversee and coach a team of low/no code developers who are responsible for developing low/no code solutions for a wide variety of business objectives. The team develops software for both internal users and external customers. Our company uses the Microsoft ecosystem (MS Office, Power Platform, Dynamics, Azure cloud systems, C#, .NET, etc.)
Qualifications",4.2,"usCalibration Incorporated
4.2","Irvine, CA",1 to 50 Employees,1997,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $25 million (USD)
Software Backend Engineer,$36.67 - $44.16 Per Hour (Employer est.),"Our Mission and Opportunity
Early education is one of the greatest determinants of childhood outcomes, is a must for working families, and has a lasting social and economic impact. Brightwheel’s vision is to enable high quality early education for every child — by giving teachers meaningfully more time with students each day, engaging parents in the development of their kids, and supporting the small businesses that make up the backbone of the $175 billion early education market. Brightwheel is the most loved technology brand in early education globally, trusted by thousands of educators and millions of families.

Our Team
We are a fully remote team with employees across every time zone in the US. Our team is passionate, talented, and customer-focused. Our exceptional investor group includes Addition, Bessemer Venture Partners, Chan Zuckerberg Initiative, GGV Capital, Lowercase Capital, Emerson Collective, and Mark Cuban.",3.8,"brightwheel
3.8",Remote,201 to 500 Employees,2014,Company - Private,Preschools & Child Care Services,Education,Unknown / Non-Applicable
Full Stack Software Engineer,$36.67 - $44.16 Per Hour (Employer est.),"Skills
Full Stack Software Developer
.NET
SDLC
C#
MS SQL
ASPX
MVC
JQuery
Angular
Web services
Job Description
looking for a passionate Software Engineer to design, develop and improve our core data platform and the products we build on it. Interview will be conducted remotely for this position.Software Engineer responsibilities include gathering user requirements, defining system functionality and writing code in various languages. Our ideal candidates are familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment. Experience with .NET, C#, MS SQL Server, Full-Stack Web Development, ASPX, MVC, JQuery, Angular and Web Services strongly preferred.ResponsibilitiesWrite well-designed, testable code
Produce specifications and determine operational feasibility
Integrate software components into a fully functional software system
Develop software verification plans and quality assurance procedures
Document and maintain software functionality
Troubleshoot, debug and upgrade existing systems
Comply with project plans and industry standards
Ensure software is updated with latest features
Execute full software development life cycle (SDLC)
Develop flowcharts, layouts and documentation to identify requirements and solutions
RequirementsProven work experience as a Software Engineer or Software Developer
Experience designing interactive applications
Excellent knowledge of .NET, C#, MS SQL Server, Full-Stack Web Development, ASPX, MVC, JQuery, Angular and Web Services
Experience with test-driven development
Proficiency in software engineering tools
Ability to document requirements and specifications
BSc degree in Computer Science, Engineering or relevant field",4.4,"Cortrack Solutions Pvt Ltd.
4.4",Remote,501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Entry-Level Software Engineer (Developer),$36.67 - $44.16 Per Hour (Employer est.),"Title:
Entry-Level Software Engineer (Developer)
An excellent opportunity to serve as a Software developer in the Common Services team at the National Aeronautics and Space Administration (NASA) Johnson Space Center (JSC). The position supports the development and maintenance of the Mission Control Center (MCC) Trajectory Subsystem (MTS) software. MTS includes a suite of applications that calculate trajectories which span several days or weeks with sufficient level of precision to achieve program goals, such as landing on the Moon. The Common Services team also provides the MCC middleware/core common capabilities to the Control Center Subsystems and User Applications.
Responsibilities:",4.0,"KBR
4.0","Houston, TX",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
Software Engineer,$36.67 - $44.16 Per Hour (Employer est.),"We are seeking a talented and experienced Software Engineer to join our team and contribute to the development of our mobile app. As a Software Engineer, you will play a critical role in designing, developing, and maintaining the app's core functionalities and features. You will collaborate closely with cross-functional teams, including product managers, UI/UX designers, and backend developers, to create a seamless and high-performing mobile app. This is an exciting opportunity to work on a cutting-edge mobile app and make a significant impact on its success.
Responsibilities:
Collaborate with product managers, UI/UX designers, and backend developers to understand business requirements and translate them into technical specifications and software solutions for the mobile app.",-1,Redko,Remote,-1,-1,-1,-1,-1,-1
Frontend Software Engineer,$36.67 - $44.16 Per Hour (Employer est.),"About CreatorDAO:
CreatorDAO is a decentralized autonomous organization (DAO) that accelerates creators with capital, community, and operational support. CreatorDAO has raised $20mm from A16z Crypto, Initialized Capital, and more than a dozen additional world-leading investors, angels, and creators, including Paris Hilton, The Chainsmokers, Michael Ovtiz, and Liam Payne.
Your Role
As a frontend engineer, you'll be responsible for helping us build a variety of applications for the members in our DAO, including our core experience which is the portal where our DAO members go to contribute to and participate in the DAO.",-1,CreatorDAO,Remote,-1,-1,-1,-1,-1,-1
Software Engineer (.NET),$36.67 - $44.16 Per Hour (Employer est.),"Description:
The Helper Bees (THB) was created to fill an obvious need in an underserved community. Inspired by love and brought to reality through passion and determination, The Helper Bees was founded to empower older adult citizens and their families in their search for quality, affordable in-home care providers. We do this by providing older adults the ability to easily review, choose, and access affordable quality in-home helpers.
The Helper Bee’s mission is to help people stay home longer through data-driven services that transform both the payer and the care-recipient experience.
As a Software Engineer (.NET), you will be working with our growing team to continually improve our tools and processes. We maintain multiple SaaS products through our web applications(internal and external facing), a mobile app, and reporting integrations. At The Helper Bee’s, you will iterate quickly, have high impact, and be challenged to design innovative solutions.
Requirements:",3.3,"The Helper Bees
3.3",Remote,201 to 500 Employees,2015,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
